BCL,BCC,BCL_Filtered,BCC_Filtered
-,-,-,-
-0.00360347054025355,-0.00120211846841088,-4.1711550311095e-20,4.92368735419639e-20
-0.00370829127480336,-0.00120805509138436,-7.97552127155974e-05,-8.17442226532627e-06
-0.00370316527504714,-0.0012219787372338,-0.000108222603613289,-1.81031898970156e-05
-0.00369733594044065,-0.00123174197862995,-8.94212225242822e-05,-2.88912428755333e-05
-0.00368957541522833,-0.00124092109447247,-6.57055696910822e-05,-3.87030521762194e-05
-0.00368317387599789,-0.00124959953126905,-6.07597205076129e-05,-4.77747090453911e-05
-0.0036808135319241,-0.00126053102377242,-6.27180819314686e-05,-5.73956351725814e-05
-0.00367819092739766,-0.00127004392564559,-5.63872056705736e-05,-6.63820563257048e-05
-0.00367754719719572,-0.00127335794409263,-4.57991503278683e-05,-7.12513064409994e-05
-0.0036754729554339,-0.00127381093941992,-4.01517138443701e-05,-7.08011065763648e-05
-0.00366842768600152,-0.00127154596278345,-3.70162957979911e-05,-6.8446261586595e-05
-0.00366296790021467,-0.00127120025582315,-2.97556983789276e-05,-6.80945759184646e-05
-0.00366373083971327,-0.00127252347901603,-2.04504398636133e-05,-6.85842977918485e-05
-0.00366040490033656,-0.00126707561415885,-1.49886502904572e-05,-6.45208198262926e-05
-0.00365407488668411,-0.00125588186120283,-9.98316486098728e-06,-5.3189378060507e-05
-0.0036383034967365,-0.00124289996879697,6.4168620507127e-06,-3.87036614363104e-05
-0.00361143372127019,-0.00123207576466058,3.86042374386701e-05,-2.74483643525968e-05
-0.00358681700151068,-0.00122183568607781,7.14116967457941e-05,-2.02125585746664e-05
-0.00358151218780948,-0.00121333606322623,7.87643624728915e-05,-1.13582678838924e-05
-0.00358630440153506,-0.00120593316590388,4.9457920527048e-05,3.41431338195038e-06
-0.00367782137857803,-0.00117741830214371,3.49963914172553e-06,2.04810273473934e-05
-0.00368288777368592,-0.00117483146040627,-2.47905891560235e-05,3.11719560001315e-05
-0.00367902539247426,-0.00117408044183734,-2.23531881529548e-05,3.02129646426394e-05
-0.00367535374613725,-0.00118317611117221,-8.09541072881366e-06,1.97666091750786e-05
-0.00367711804372776,-0.00119854218951119,-4.87432035736573e-06,6.17877289675082e-06
-0.00368126652725139,-0.00120898492389827,-1.22965824254238e-05,-4.98453201301208e-06
-0.00368280432717826,-0.00121437318410714,-1.60408858937412e-05,-1.10185088669469e-05
-0.00368558190379035,-0.00121765143976518,-1.28440105261368e-05,-1.19998970809918e-05
