BCL,BCC,BCL_Filtered,BCC_Filtered
-,-,-,-
-0.00297324675162117,-0.000923323686321001,-1.37259907579013e-21,6.68034358634926e-21
-0.00297201889586561,-0.000928330476780562,9.54848872238207e-07,-6.63280970337268e-06
-0.00296962278900282,-0.000934529360206685,3.06777044516776e-06,-1.2286335663286e-05
-0.00296676176588307,-0.000937902983302056,5.27898557425692e-06,-1.72056837101697e-05
-0.00296635645427444,-0.000941777285443382,5.77234718811519e-06,-2.16578255363174e-05
-0.00296702402633572,-0.000942826327253957,4.69710422313602e-06,-2.38576941522755e-05
-0.00296728628678836,-0.000938749369308315,3.81951910579284e-06,-2.05859823332279e-05
-0.00296722668214003,-0.000928854997685849,3.98413435126877e-06,-1.06593595292554e-05
-0.00296590345894715,-0.000913965756533489,4.53116740920365e-06,2.94441508994888e-06
-0.00296573656593183,-0.000900554710659665,5.00034126870893e-06,1.53588206048696e-05
-0.00296399611020065,-0.00089123254366115,5.71593639628884e-06,2.40018724677746e-05
-0.00296330469628004,-0.000886261515990586,6.49909901332346e-06,2.98513483494048e-05
-0.00296312588233506,-0.000878894381457232,6.4399360512514e-06,3.50631322648648e-05
-0.00296344774743603,-0.000872731260820106,5.57348230332205e-06,4.04995432855995e-05
-0.00296323317070205,-0.000868523172648142,5.41192034266108e-06,4.55315421781871e-05
-0.00296182650100151,-0.000864768079803471,6.89438767290295e-06,4.88077460292957e-05
-0.00295916813368607,-0.000863421014751256,8.80687124979188e-06,4.85787350822905e-05
-0.00295875090114778,-0.000868427805210817,9.21999327292301e-06,4.35297720968184e-05
-0.00295970457552103,-0.000878679804723251,7.76812793968771e-06,3.45455426027046e-05
-0.00296171921263452,-0.000886607222950889,5.56040724307858e-06,2.50677833615025e-05
-0.00296334045906904,-0.000892627292432027,3.49022091181633e-06,1.84778344421013e-05
-0.00296517628223755,-0.000897121482915967,1.74456134419621e-06,1.52757485722086e-05
-0.00296534317525286,-0.00089795594799256,5.78500095010058e-07,1.37675304863271e-05
-0.00296590345894715,-0.000898468547968182,3.4630680538428e-07,1.31536756893833e-05
-0.00296511667758922,-0.000897336059649948,7.26548995453792e-07,1.44305720982161e-05
-0.00296431797530162,-0.000894153171429227,8.52399250330966e-07,1.79362827873864e-05
-0.00296496170550357,-0.000890862994841516,3.21642528752644e-07,2.156655357328e-05
-0.00296551006826818,-0.000889551692578297,-6.67171790587642e-07,2.26706591398308e-05
-0.00296669024030508,-0.000891733222707106,-2.15563400972806e-06,2.10089954230519e-05
-0.00296881216578556,-0.000894737296982842,-4.45894646284893e-06,1.85368222949368e-05
-0.00297091024940671,-0.000897038036408307,-7.13341291676676e-06,1.65573596775388e-05
-0.00297279375629388,-0.000898957306084472,-8.82062568218956e-06,1.4647338945283e-05
-0.00297199505400628,-0.000901711040837231,-8.6467664392459e-06,1.28431701820268e-05
-0.00297024267734544,-0.000902128273375527,-7.18952251340934e-06,1.32619726257291e-05
-0.00296865719369991,-0.000896883064322654,-5.60389040170585e-06,1.77704112182507e-05
-0.00296696442168739,-0.000892126613386071,-4.35933291006538e-06,2.42964489958845e-05
-0.00296573656593183,-0.000889718585593616,-3.40311344143928e-06,2.72162400027663e-05
-0.00296522396595621,-0.000894630008615852,-3.05195337788161e-06,2.22704842822532e-05
-0.00296577232872083,-0.000907278114991076,-3.8387243197362e-06,1.02907787290719e-05
-0.00296701210540605,-0.000923693235140636,-5.47323412818225e-06,-4.5757688643601e-06
-0.00296819227744295,-0.000938534792574334,-6.67069987978655e-06,-1.93626641807933e-05
-0.00296758431003,-0.00095324521978171,-6.40003879306229e-06,-3.38630961217631e-05
-0.00296601074731414,-0.000969076214377654,-5.04216111481273e-06,-4.84103872469519e-05
-0.00296455639389493,-0.000983464776484059,-3.91930090254622e-06,-6.18100163524398e-05
-0.00296448486831694,-0.000993609487629502,-3.64242009610411e-06,-7.1941204925405e-05
-0.00296359079859202,-0.000999879896633619,-3.33533542281052e-06,-7.75481027572975e-05
-0.00296195763122783,-0.00100252634301939,-1.96983396005168e-06,-7.92144440025702e-05
-0.00296063440803494,-0.00100370651505628,-2.68520902558618e-07,-7.92868195077308e-05
-0.00296005028248133,-0.00100488668709318,-2.96131432491176e-07,-8.06876759765313e-05
-0.0029622794963288,-0.00100948816594411,-2.63759567559647e-06,-8.45056004852146e-05
-0.00296450871017627,-0.00101436382617735,-4.95923883380786e-06,-8.83273280289375e-05
-0.00296427029158296,-0.00101475721685631,-4.60583431189244e-06,-8.78961671582017e-05
-0.00296132582195555,-0.0010073066358153,-2.0595383123209e-06,-8.06441903776576e-05
-0.00295918005461574,-0.000993824064363483,-1.5436145631827e-07,-6.66224855518448e-05
-0.00295945423599805,-0.00097523933501478,3.7121932054888e-08,-4.64469436389277e-05
-0.00295844095697647,-0.000949823912967677,4.21517283919339e-07,-2.09828090454807e-05
-0.00295686739426061,-0.000922584588681733,2.27485888715364e-06,5.991104822667e-06
-0.00295538919898207,-0.000901854091993218,3.61262304663916e-06,2.78938500498591e-05
-0.00295661705473763,-0.000889372878633313,1.99983453676102e-06,4.11765063321165e-05
-0.00296099203592491,-0.000881004386008047,-1.42577263023683e-06,4.96959475786394e-05
-0.00296140926846321,-0.000870227865590326,-2.97964770994968e-06,6.01719767156525e-05
-0.00295985954760668,-0.000857496312707443,-8.85914635353421e-07,7.37654708104826e-05
-0.00295592564081702,-0.000847780755029962,3.30725529783876e-06,8.5027784221177e-05
-0.0029515983433484,-0.000842607071555082,7.30483245969407e-06,8.88748914832806e-05
-0.00294914263183729,-0.00084639792718875,9.80569310928403e-06,8.52676326201405e-05
-0.00294952410158659,-0.000857138684817474,9.79913676766355e-06,7.66922958824514e-05
-0.00295226591540968,-0.000867855600586867,6.75702615643989e-06,6.49480816566178e-05
-0.0029573203895879,-0.000880432181384097,2.30627960807219e-06,5.22891392409928e-05
-0.00295975225923969,-0.000891292148309478,-5.00030080873715e-07,4.23693484321076e-05
-0.00295997875690334,-0.000897049957337973,-6.53640196846701e-07,3.69070704873568e-05
-0.00296022909642631,-0.000900709682745318,2.50526348323795e-09,3.31633055692912e-05
-0.00295901316160042,-0.00090639596619582,5.14103974555449e-07,2.74968342043143e-05
-0.00295683163147161,-0.000913810784447836,3.08137235622567e-06,2.01523948864692e-05
-0.00295071619455315,-0.000921237523629518,9.66935828028145e-06,1.3927824831027e-05
-0.00294210928333457,-0.000924897249036863,1.81886093796381e-05,9.3181964497885e-06
-0.00293614881850176,-0.000930082853441408,2.44257452195761e-05,4.12326483834294e-06
-0.00293405073488061,-0.000937688406568075,2.65095354333079e-05,-2.49265521582903e-06
-0.00293613689757209,-0.000943923052783194,2.50799147031314e-05,-8.60886450595299e-06
-0.00294052379968904,-0.000946903285199599,2.03776097517543e-05,-1.26487770286838e-05
