BCL,BCC,BCL_Filtered,BCC_Filtered
-,-,-,-
-9.24587304865557e-05,0.000340354462883142,-7.4432056751754e-22,3.04087041752789e-21
-9.36627443827834e-05,0.000327003021657647,-3.2765347524902e-06,-4.25948425581999e-06
-9.75966511724383e-05,0.000313687343221148,-6.38152355008426e-06,-1.90727615084251e-05
-9.98854696682375e-05,0.000300157088050669,-7.41470217595567e-06,-3.9426860373232e-05
-9.71198139858135e-05,0.000287532823534776,-5.55166439333701e-06,-4.70115957727557e-05
-8.8834767868207e-05,0.000274777428792562,-3.48256791084506e-06,-2.87756926933134e-05
-9.66429767991887e-05,0.000349712392670655,-4.11654368521517e-06,8.8722759572506e-06
-9.56177768479453e-05,0.000367295763927446,-6.37282130832926e-06,4.65827190745576e-05
-9.42230280770676e-05,0.000382077716712816,-7.09179079511106e-06,7.08954670922947e-05
-9.35435350861272e-05,0.000397515320629795,-5.95672198510426e-06,8.33370395529935e-05
-9.3078618829168e-05,0.000407421613181926,-5.61126559939842e-06,9.27136888256751e-05
-9.50694140833267e-05,0.000414788747715279,-7.42524095147644e-06,0.000103635404456288
-9.61899814718951e-05,0.000418460394052291,-9.7508378483356e-06,0.000113122739200092
-9.52959117469735e-05,0.000415992761611507,-1.05148309607759e-05,0.000114727534114721
-9.5152860590986e-05,0.000407171273658948,-9.82657610004728e-06,0.00010590731274457
-9.59754047379139e-05,0.000396645092764204,-9.73716715439114e-06,9.37142796886438e-05
-9.72747860714666e-05,0.000387585186218332,-1.18947619675307e-05,8.9511629065102e-05
-9.66191349398574e-05,0.000378704093617445,-1.48045581140571e-05,9.23471982739683e-05
-9.58919582302545e-05,0.000369393847548595,-1.35422601539387e-05,8.27914712912647e-05
-9.48429164196799e-05,0.000359511396855795,-4.41627522369169e-06,4.48362182266248e-05
-6.66856805494833e-05,0.000252282634513535,9.30606321440214e-06,-7.76998229563024e-06
-6.50763550446245e-05,0.00024979116021342,1.9052634060378e-05,-4.14063690783379e-05
-6.42657318273623e-05,0.000248944774207161,1.99969915553484e-05,-4.17599901797732e-05
-6.57558480355649e-05,0.000248515620739199,1.58563792643738e-05,-2.88654687043571e-05
-6.73770944700893e-05,0.000246262565032397,1.27260861547167e-05,-2.71019762863847e-05
-7.06076664094726e-05,0.000243723407013619,1.13269214951574e-05,-3.54084869573318e-05
-7.32183500062436e-05,0.000239956393239283,8.65917659834598e-06,-3.85945344627385e-05
-7.6317791719305e-05,0.00023691655617455,4.58679562291698e-06,-3.47886902057063e-05
-7.76648567715202e-05,0.000234687342327079,2.17397500206354e-06,-3.45528962926558e-05
-7.77483032791795e-05,0.000231814398277664,2.55649282385082e-06,-3.96193046853432e-05
-7.75218056155327e-05,0.000230753435537424,3.75019173577808e-06,-4.03674001756986e-05
-7.5721745236024e-05,0.000233829035391154,4.31106127038425e-06,-3.34768270930634e-05
-7.47799917924399e-05,0.000237989439844456,4.41082979193975e-06,-2.69558028976951e-05
-7.66754196092736e-05,0.000240385546707245,3.27187574940388e-06,-2.58545882940355e-05
-8.13722658975283e-05,0.00024105311876852,-6.98950411884373e-07,-2.5507822541298e-05
-8.59260610297955e-05,0.000242233290805417,-6.4792056748505e-06,-2.18829633195059e-05
-8.92996841251662e-05,0.000244545951160547,-1.02998660444113e-05,-1.80161352711434e-05
-9.02295166390846e-05,0.000246477141766378,-1.00552048390243e-05,-1.66495597966866e-05
-8.77499632686355e-05,0.000248646750965521,-7.58036053808514e-06,-1.55885023726032e-05
-8.50796750235364e-05,0.000249409690464121,-5.88043081641419e-06,-1.4105066225223e-05
-8.59379819594611e-05,0.000245356574377809,-6.2173075896081e-06,-1.58718808360749e-05
-8.86201911342258e-05,0.000241255774572836,-8.33407805480824e-06,-2.16178883709092e-05
-9.11831910123343e-05,0.000238275542156431,-1.12175180166981e-05,-2.62423849606605e-05
-9.28521211655212e-05,0.000236654295721906,-1.29162253088975e-05,-2.74511130590586e-05
