BCL,BCC,BCL_Filtered,BCC_Filtered
-,-,-,-
-0.00015051365795813,-0.000473880796067762,1.03091019739511e-20,-4.05950173796704e-20
-0.000141549118849583,-0.000474607972777365,2.76159658226532e-06,-9.67614143636936e-06
-0.000163400182926666,-0.00051262381748103,-8.97318764181313e-06,-2.81385095713748e-05
-0.000185668479542046,-0.000525736840113213,-3.28956553057687e-05,-4.97288628423971e-05
-0.000203049194994521,-0.000537645848849168,-5.49814109515854e-05,-6.29974189802222e-05
-0.000215101254886464,-0.0005456447926548,-6.6021757110244e-05,-6.67679406919181e-05
-0.000219631208159399,-0.000548672708789868,-6.63653638878936e-05,-6.79688075768181e-05
-0.000208926213319672,-0.000548505815774549,-5.86710535589474e-05,-6.87869642683028e-05
-0.000195133697696549,-0.00054651502052039,-4.51881146303834e-05,-6.62571048108259e-05
-0.000181984912275369,-0.000542283090489095,-3.18772318304616e-05,-6.13853090634615e-05
-0.000177550326439758,-0.000540804895210558,-2.69608467498516e-05,-5.8570419613164e-05
-0.000182759772703634,-0.000540161165008614,-3.228097370902e-05,-5.71754443810157e-05
-0.000191879283897834,-0.000534677537362429,-4.04001164646324e-05,-5.2466900681854e-05
-0.000190246116533644,-0.000526750119134791,-4.27700857240189e-05,-4.43961322590891e-05
-0.000188505660802463,-0.000520944626387633,-3.83931495695307e-05,-3.75654883492893e-05
-0.000184202205193174,-0.000516486198692691,-3.30048199588352e-05,-3.2742019129803e-05
-0.000180983554183457,-0.000508952171144019,-3.14654169487973e-05,-2.57652107620262e-05
-0.00017874241940632,-0.000496792822885086,-3.20565058851731e-05,-1.49078070981855e-05
-0.000174999247491315,-0.00048469307927448,-2.77088219782341e-05,-2.67184568496638e-06
-0.000168406973386226,-0.000475966958759246,-1.29706098727488e-05,9.26747079083815e-06
-0.00013045073333089,-0.00045896771305607,1.00191677338958e-05,2.00089016166817e-05
-0.000115787989842176,-0.000455665615538693,3.35934290589068e-05,2.5078883576857e-05
-9.58800373005889e-05,-0.000461113480395882,5.24381704324085e-05,2.02417471621185e-05
-7.93576287840383e-05,-0.000469279317216832,6.66870089720496e-05,1.02172956452731e-05
-6.8426136280664e-05,-0.000471472768275307,7.67522374424382e-05,5.46775040527154e-06
-6.46710434359934e-05,-0.000468015698672277,7.97170331781463e-05,8.65112103827663e-06
-7.20143361100159e-05,-0.000465083149974534,7.3995982304632e-05,1.20698010949881e-05
-8.04185915242786e-05,-0.000462532071026091,6.38847817149917e-05,1.07279953808108e-05
