BCL,BCC,BCL_Filtered,BCC_Filtered
-,-,-,-
-0.00192890178733479,-0.000904083305840689,4.36338777237395e-21,-2.08209113363439e-21
-0.00192489635496714,-0.000898623520053835,4.5945251749838e-06,4.10754741200829e-06
-0.00191881668083767,-0.000899684482794075,9.26760079844506e-06,5.40583887144662e-06
-0.00191657554606053,-0.000903391891920083,1.02081632786209e-05,2.18539116815793e-06
-0.00192264329926034,-0.000907862240544691,4.42699665964136e-06,-3.68495694844576e-06
-0.00193287145691344,-0.000911140496202737,-4.54356808512042e-06,-6.91334293659783e-06
-0.00193617355443082,-0.000909650379994534,-1.00717897728283e-05,-3.84946607482712e-06
-0.00193495761960492,-0.000902295166390846,-9.64484044856928e-06,3.54574925373545e-06
-0.00193127405233825,-0.000894570403967524,-5.32742864703273e-06,1.06191663642771e-05
-0.00192568313632507,-0.000889635139085957,4.81821612682282e-07,1.53061034873407e-05
-0.00191919815058697,-0.000888574176345716,6.00409244132035e-06,1.79206209854459e-05
-0.00191470396010303,-0.00088959937629696,9.09085658539189e-06,1.73790516732901e-05
-0.00191473972289203,-0.000893342548211965,9.3654189589155e-06,1.18553578799659e-05
-0.00191568147633561,-0.000902736240788474,9.87818361900479e-06,3.49015377265011e-06
-0.00191022169054876,-0.000909161621878244,1.32550151442425e-05,-1.49107132583615e-06
-0.00190469037918391,-0.000906217152250835,1.7807261761779e-05,7.42967765212038e-07
-0.00190274726764841,-0.000898981147943803,2.03875454375328e-05,7.34491088520163e-06
-0.00190355789086568,-0.000894796901631171,2.0746672391591e-05,1.25563013342106e-05
-0.00190345060249869,-0.000894677692334514,1.96933962917653e-05,1.37559408418902e-05
-0.00190358173272501,-0.00089507108301348,1.57342047292913e-05,1.2139985729224e-05
-0.00191717159254382,-0.000898444706108851,7.9551983539376e-06,9.45255064067423e-06
-0.00192190420162107,-0.000901472622243918,2.966314453673e-08,6.6297918742467e-06
-0.00192434799220252,-0.000903976017473699,-3.42447265504659e-06,4.81265779608682e-06
-0.00192451488521784,-0.000903761440739717,-2.89682482476161e-06,5.10408617104076e-06
-0.00192412149453887,-0.000901067310635287,-1.8787925369217e-06,6.95254968674336e-06
-0.00192209493649572,-0.00090111499435395,-6.00838544135964e-07,8.32984005333208e-06
-0.00191818487156539,-0.000902009064078871,2.8562162108298e-06,7.92503182857981e-06
-0.00191416751826808,-0.000902652794280815,6.69711456502717e-06,6.15138416629226e-06
-0.0019146443554547,-0.00090593104993886,6.77013746297217e-06,3.81736345731715e-06
-0.00191788684832375,-0.000909435803260553,3.51763338206679e-06,9.51767593478681e-07
-0.00191904317850132,-0.000912535244973614,1.60440566597194e-06,-2.44151846371953e-06
-0.00191838752736971,-0.000915360505304367,2.13681911274966e-06,-5.25787645078715e-06
-0.00191996109008557,-0.000916802937793907,1.12358614484561e-06,-5.93693971908837e-06
-0.00192447912242884,-0.000915288979726373,-3.09524353194409e-06,-4.32464316436017e-06
-0.00192686330836197,-0.000912892872863583,-6.64961669214101e-06,-2.24583515900963e-06
-0.00192707788509595,-0.000913190896105224,-6.57261186351951e-06,-1.69504617384835e-06
-0.00192668449441698,-0.000914335305353123,-5.34528083062403e-06,-2.68149508126003e-06
-0.00192686330836197,-0.000914812142539748,-6.16940247984556e-06,-3.58875164969382e-06
-0.00192840110828883,-0.00091570621226467,-7.95032183010747e-06,-3.7252071562928e-06
-0.00192909252220944,-0.000916719491286247,-8.14865556910924e-06,-4.43137938399847e-06
-0.00192804348039886,-0.000919067914430375,-7.23014247869386e-06,-6.92761935132858e-06
-0.00192780506180555,-0.000922262723580761,-7.10501809814222e-06,-1.0119418483863e-05
-0.00192881834082713,-0.000924944932755526,-7.75824990693928e-06,-1.19783202274972e-05
-0.00192900907570178,-0.000925111825770844,-8.26167699200939e-06,-1.25569037500023e-05
-0.00192959320125539,-0.000927436407055641,-8.92645276201952e-06,-1.39385846556669e-05
-0.00193111908025259,-0.000929820592988765,-9.97885941831033e-06,-1.72594268987118e-05
-0.0019313932616349,-0.000934696253222004,-1.01828170636588e-05,-2.14175803775554e-05
-0.00192974817334105,-0.00093941694136959,-9.03051216938426e-06,-2.48173741085273e-05
-0.00192885410361612,-0.000939512308806914,-8.21388514246969e-06,-2.66385138329403e-05
-0.00193049919190998,-0.000939917620415546,-8.75919575604717e-06,-2.61840324589801e-05
-0.00192998659193436,-0.000937962587950384,-8.90531769857821e-06,-2.3113796216381e-05
-0.00192767393157923,-0.00093328958352146,-7.13782881929216e-06,-1.90618478271626e-05
-0.00192652952233133,-0.00093097692316633,-5.04710922329148e-06,-1.68007304211445e-05
-0.00192571889911407,-0.000931322630126633,-4.44915060214504e-06,-1.64602075405385e-05
-0.00192511093170112,-0.000929772909270102,-3.75449633220107e-06,-1.45390620263363e-05
-0.0019212008667708,-0.000923442895617658,-4.27189558403315e-07,-8.31902276162858e-06
-0.00191706430417683,-0.000914955193695735,4.40098626667045e-06,5.37949410933864e-07
-0.00191425096477574,-0.000906717831296791,7.15991253672963e-06,8.64636176204492e-06
-0.00191425096477574,-0.000901210361791275,6.97191531711428e-06,1.52078454382133e-05
-0.00191484701125902,-0.000895166450450805,6.44094237415561e-06,2.10773741397588e-05
-0.00191348802527714,-0.000891113334364494,7.58006808620242e-06,2.51617117455863e-05
-0.00191178333233496,-0.000891625934340115,9.80161157544751e-06,2.52996223130306e-05
-0.00190938722547217,-0.000894868427209164,1.20451415779095e-05,2.23744107431602e-05
-0.00190680038373473,-0.000897491031735601,1.42242115645811e-05,2.0097158142577e-05
-0.00190534603031552,-0.000897741371258579,1.59049678072291e-05,2.01135071776014e-05
-0.00190581094657248,-0.000897693687539916,1.56006349236258e-05,2.0221950509614e-05
-0.00190932762082384,-0.000900566631589331,1.22296244226443e-05,1.83196318780285e-05
-0.00191487085311835,-0.000903904491895705,6.04300819664815e-06,1.53896534134882e-05
-0.00192312013644696,-0.000905764156923542,-2.11235044013479e-06,1.32779501058053e-05
-0.00193256151274213,-0.00090794568705235,-1.10177815317909e-05,1.19960570778005e-05
-0.00193986904262716,-0.000909566933486875,-1.83151082181425e-05,1.09867825424996e-05
-0.00194139492162436,-0.000909888798587847,-2.10791400205413e-05,1.09641159440591e-05
-0.00193916570777689,-0.000909102017229916,-1.79927460488513e-05,1.23309036251172e-05
-0.00193206083369618,-0.000908148342856666,-1.03161995012586e-05,1.32756461788446e-05
-0.0019212008667708,-0.000911021286906081,-6.25798485560388e-07,1.17285696542153e-05
-0.00191198598813927,-0.000914979035555067,8.49183347879764e-06,8.25531130141871e-06
-0.0019067050162974,-0.000918233449353781,1.46600848357776e-05,4.85460893730946e-06
-0.00190455924895759,-0.00092234617008842,1.62906306657639e-05,1.6564168597474e-06
-0.00190647851863375,-0.00092781787680494,1.3836979625298e-05,-2.79043358571502e-06
