Time_s,BCL_Filtered,BCC_Filtered
20,4.10882202020552e-07,1.3719675330823e-07
20.0005,3.54014878118001e-07,3.11499180577267e-06
20.001,2.83076518089836e-07,6.27813073854098e-06
20.0015,3.21559470037463e-07,9.0942206618666e-06
20.002,5.65142057991592e-07,1.06638800563733e-05
20.0025,1.02991152960602e-06,1.0478435098077e-05
20.003,2.25741719835575e-06,8.51064603673187e-06
20.0035,5.83238156785522e-06,5.2053064635168e-06
20.004,1.33721794961212e-05,1.77984096464846e-06
20.0045,2.45087442268095e-05,-1.40156412371311e-07
20.005,3.63769193506203e-05,5.4724111609098e-08
20.0055,4.56335723419718e-05,8.89515497754317e-07
20.006,5.09733579725831e-05,-5.86306628794941e-07
20.0065,5.36399542978081e-05,-7.03284779300889e-06
20.007,5.57052478264447e-05,-1.93776350239919e-05
20.0075,5.79975629965042e-05,-3.65115611229228e-05
20.008,5.95278796045376e-05,-5.59984000460316e-05
20.0085,5.84625726405564e-05,-7.52392724414865e-05
20.009,5.33412935099967e-05,-9.23846544931184e-05
20.0095,4.37897987239527e-05,-0.000106597208110023
20.01,3.09309124330224e-05,-0.000117849571876232
20.0105,1.73514376670482e-05,-0.000126297678605649
20.011,6.00126545181014e-06,-0.000131254119165252
20.0115,-1.64068819665724e-06,-0.000131141841222172
20.012,-6.45700303828786e-06,-0.000125539360870713
20.0125,-1.04956096540129e-05,-0.000116785135455545
20.013,-1.49210275237672e-05,-0.000107927165406995
20.0135,-1.93727713446301e-05,-9.9365655992993e-05
20.014,-2.29119387001511e-05,-8.90833865603766e-05
20.0145,-2.49164918781237e-05,-7.55205582583037e-05
20.015,-2.54573371839001e-05,-5.83423728056947e-05
20.0155,-2.56856210071378e-05,-3.71743223823113e-05
20.016,-2.73929646623578e-05,-1.19338844767348e-05
20.0165,-3.10110986126903e-05,1.55382823606818e-05
20.017,-3.4242918028608e-05,4.15799057053391e-05
20.0175,-3.38294853236748e-05,6.23033075482317e-05
20.018,-2.88214624356379e-05,7.43128321590964e-05
20.0185,-2.13846065803442e-05,7.47207949446353e-05
20.019,-1.42848356473108e-05,6.23823569736945e-05
20.0195,-8.18114982555822e-06,3.98778963680323e-05
20.02,-1.71406019880917e-06,1.3229543819031e-05
20.0205,6.08140579586797e-06,-1.16270888171661e-05
20.021,1.41907977772824e-05,-3.20689391359401e-05
20.0215,2.0909918014783e-05,-4.80704803792742e-05
20.022,2.6084499047321e-05,-5.93030099681121e-05
20.0225,3.07090150594718e-05,-6.47845434613612e-05
20.023,3.43000532589196e-05,-6.53289189124912e-05
20.0235,3.46545572628964e-05,-6.38059384270967e-05
20.024,3.1241226222949e-05,-6.11477396789733e-05
20.0245,2.690066217549e-05,-5.32874065183862e-05
20.025,2.42545782581601e-05,-3.42019734547842e-05
20.0255,2.16360826795573e-05,-2.53044920553125e-06
20.026,1.4920994009037e-05,3.52303387139279e-05
20.0265,3.35614621661528e-06,6.84418397201471e-05
20.027,-8.45083593781407e-06,8.98612510456155e-05
20.0275,-1.5302221233066e-05,0.000100015644372601
20.028,-1.69425693789841e-05,0.000104286073991466
20.0285,-1.75380884027794e-05,0.000106626037333535
20.029,-2.03756171976707e-05,0.000107333061251491
20.0295,-2.46749731528873e-05,0.000106180485080258
20.03,-2.7591675574143e-05,0.000105074334010242
20.0305,-2.78546228001104e-05,0.000105953699425058
20.031,-2.67365165131336e-05,0.000107341779660083
20.0315,-2.61229605639815e-05,0.000105711235147007
20.032,-2.63367800519521e-05,0.000100956397539257
20.0325,-2.60366525524361e-05,9.82140640895783e-05
20.033,-2.42393996330293e-05,0.000102179391873375
20.0335,-2.20391062636038e-05,0.000110566590386088
20.034,-2.15476684375864e-05,0.00011558239802183
20.0345,-2.30187156397912e-05,0.00011216300662478
20.035,-2.39405836715255e-05,0.000102793737558919
20.0355,-2.15785949353183e-05,9.3431190825972e-05
20.036,-1.5748538237945e-05,8.66600936317609e-05
20.0365,-8.3625285629804e-06,8.05422010186649e-05
20.037,-9.14239178230747e-07,7.26647486880384e-05
20.0375,6.47198630069635e-06,6.26151720115434e-05
20.038,1.38441769012974e-05,5.04571450794173e-05
20.0385,2.05562180557648e-05,3.51217822138977e-05
20.039,2.57986492816802e-05,1.54450601155942e-05
20.0395,2.92089785711266e-05,-8.22296183479937e-06
20.04,3.07722686384396e-05,-3.42416949533508e-05
20.0405,3.0597759489055e-05,-6.0946189842898e-05
20.041,2.8918752408893e-05,-8.71108606286514e-05
20.0415,2.61276292313957e-05,-0.000111561382944774
20.042,2.28840725887889e-05,-0.0001331145331692
20.0425,2.02506646382861e-05,-0.000150905802684609
20.043,1.93421447821625e-05,-0.000163947207265528
20.0435,2.03478521808277e-05,-0.000170473179820422
20.044,2.17955250968277e-05,-0.000169554923759838
20.0445,2.11276952221931e-05,-0.000164110115079348
20.045,1.66283369705439e-05,-0.000160016078089758
20.0455,9.24138695768357e-06,-0.000160206388026169
20.046,2.22440859363398e-06,-0.000160883910882775
20.0465,-1.701500756462e-06,-0.000155182959720675
20.047,-3.05359415889756e-06,-0.000139402906070874
20.0475,-5.15168107879657e-06,-0.000114275293291191
20.048,-1.09800774800514e-05,-8.20494675047156e-05
20.0485,-2.05652333132998e-05,-4.55588719505469e-05
20.049,-3.0977098942244e-05,-9.98858985724466e-06
20.0495,-3.84439957072337e-05,1.81323174261754e-05
20.05,-4.08735062966941e-05,3.61197294177226e-05
